Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Number_of_vehicles_involved,Number_of_casualties,Time,Accident_severity
18-30,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,2,1,17:15:00,Fatal
Unknown,Male,Junior high school,Employee,5-10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,1,17:15:00,Fatal
31-50,Male,Elementary school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,1,12:04:00,Fatal
18-30,Male,Junior high school,Owner,2-5yr,other,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,2,17:13:00,Fatal
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1,2,17:13:00,Fatal
31-50,Male,Junior high school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Unknown or other,No priority to vehicle,2,1,18:44:00,Fatal
Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,18:44:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,1,18:10:00,Fatal
Unknown,Male,Junior high school,Employee,1-2yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,1,18:10:00,Fatal
Unknown,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1,1,15:27:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,1,21:38:00,Fatal
Unknown,Female,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,1,21:38:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,1,12:20:00,Fatal
18-30,Male,Elementary school,Owner,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,1,11:00:00,Fatal
31-50,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,7:58:00,Fatal
31-50,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,7:58:00,Fatal
Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,0:31:00,Fatal
18-30,Male,High school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Changing lane to the left,2,1,0:31:00,Fatal
31-50,Male,Junior high school,Owner,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,1,1,15:43:00,Fatal
Unknown,Female,Junior high school,Employee,1-2yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,1,20:40:00,Fatal
Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,1,20:39:00,Fatal
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,1,9:16:00,Fatal
31-50,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,1,9:16:00,Fatal
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,1,1,12:45:00,Fatal
Over 51,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving under the influence of drugs,4,2,14:50:00,Fatal
Over 51,Male,Junior high school,Owner,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to pedestrian,4,2,14:50:00,Fatal
Over 51,Male,Junior high school,Employee,5-10yr,One way,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,4,2,14:50:00,Fatal
31-50,Male,Unknown,Other,Unknown,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,4,2,14:50:00,Fatal
18-30,Male,High school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,2,15:26:00,Fatal
Over 51,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Other,Going straight,Not a Pedestrian,Changing lane to the right,2,2,15:26:00,Fatal
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving under the influence of drugs,2,1,16:15:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,1,16:15:00,Fatal
18-30,Male,Junior high school,Employee,No Licence,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No priority to vehicle,2,1,2:40:00,Fatal
Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,2:40:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,18:01:00,Fatal
Unknown,Female,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,18:01:00,Fatal
31-50,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,1,2:02:00,Fatal
31-50,Male,High school,Owner,2-5yr,Two-way (divided with broken lines road marking),Crossing,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,1,16:22:00,Fatal
Unknown,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Getting off the vehicle improperly,1,1,13:10:00,Fatal
31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Overtaking,1,1,9:17:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,1,12:39:00,Fatal
31-50,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Crossing from driver's nearside,Driving under the influence of drugs,1,1,10:35:00,Serious
Unknown,Female,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1,1,14:23:00,Fatal
31-50,Male,Unknown,Employee,Above 10yr,Unknown,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,1,4:48:00,Fatal
31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,4:48:00,Fatal
Unknown,Female,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,1,1,15:17:00,Fatal
31-50,Male,Elementary school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Overturning,2,2,15:30:00,Fatal
31-50,Male,Junior high school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left,2,2,15:30:00,Fatal
Unknown,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,2,2,15:30:00,Fatal
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Moving Backward,1,1,18:55:00,Serious
Unknown,Male,High school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,1,2:44:00,Fatal
Unknown,Female,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to vehicle,1,1,1:00:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,1,23:35:00,Fatal
Unknown,Male,Elementary school,Employee,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,23:35:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overtaking,1,1,3:40:00,Fatal
31-50,Male,Junior high school,Employee,Below 1yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,1,11:30:00,Fatal
Over 51,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Changing lane to the right,2,1,11:30:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,23:15:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,23:15:00,Fatal
Unknown,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,1,1,2:31:00,Fatal
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,1,14:30:00,Fatal
Unknown,Female,Junior high school,Employee,Unknown,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,14:30:00,Fatal
Unknown,Female,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,1,14:30:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,1,1,11:30:00,Fatal
31-50,Male,Junior high school,Employee,Below 1yr,other,Y Shape,Gravel roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,1,11:25:00,Fatal
Unknown,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,11:25:00,Fatal
31-50,Male,Junior high school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Driving carelessly,2,1,22:00:00,Fatal
Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,22:00:00,Fatal
Under 18,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,15:30:00,Fatal
Under 18,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Unknown,Going straight,Not a Pedestrian,No distancing,2,1,15:30:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,1,9:57:00,Fatal
Unknown,Male,Elementary school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,1,9:57:00,Fatal
31-50,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,1,1,18:12:00,Fatal
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,17:06:00,Fatal
18-30,Male,Writing & reading,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Getting off,Not a Pedestrian,Driving under the influence of drugs,2,1,17:06:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,1,1,8:25:00,Fatal
Unknown,Male,Elementary school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Unknown,Going straight,Not a Pedestrian,Overturning,1,1,23:05:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving under the influence of drugs,2,1,6:40:00,Fatal
Unknown,Male,Junior high school,Owner,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Unknown,Moving Backward,Not a Pedestrian,Changing lane to the right,2,1,6:40:00,Fatal
18-30,Male,Writing & reading,Employee,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Unknown,Going straight,Not a Pedestrian,Changing lane to the left,2,1,11:50:00,Fatal
Unknown,Male,Writing & reading,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Unknown,Moving Backward,Not a Pedestrian,No distancing,2,1,11:50:00,Fatal
Unknown,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,1,9:40:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to vehicle,2,1,9:05:00,Serious
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Moving Backward,2,1,9:05:00,Serious
31-50,Male,Junior high school,Employee,5-10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown,Not a Pedestrian,Moving Backward,2,1,9:40:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,1,9:40:00,Fatal
Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the left,1,1,22:35:00,Fatal
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,20:18:00,Fatal
31-50,Male,Junior high school,Employee,Below 1yr,One way,Crossing,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,1,20:18:00,Fatal
31-50,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,20:00:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the right,2,1,20:00:00,Fatal
18-30,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,13:15:00,Fatal
Unknown,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the left,2,1,13:15:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Other,Not a Pedestrian,Changing lane to the right,2,2,22:39:00,Fatal
31-50,Male,High school,Employee,Above 10yr,Two-way (divided with solid lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,2,22:39:00,Fatal
Over 51,Male,High school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,2,22:39:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,2,2,17:18:00,Fatal
31-50,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,2,17:18:00,Fatal
18-30,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,1,8:55:00,Fatal
Unknown,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,1,8:55:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,10:00:00,Fatal
Unknown,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,1,10:00:00,Fatal
18-30,Male,High school,Owner,Above 10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Rollover,Getting off,Not a Pedestrian,Driving carelessly,2,1,8:55:00,Fatal
Unknown,Male,Unknown,Owner,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,1,8:55:00,Fatal
Unknown,Male,Writing & reading,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,1,1,17:15:00,Fatal
Unknown,Male,Above high school,Employee,Above 10yr,Undivided Two way,Other,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Unknown or other,No priority to vehicle,1,1,1:37:00,Fatal
Over 51,Male,High school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,3,1,15:45:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving to the left,3,1,15:45:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,3,1,15:45:00,Fatal
31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,1,11:05:00,Fatal
Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,9:10:00,Fatal
31-50,Male,Junior high school,Employee,No Licence,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving carelessly,2,1,9:10:00,Fatal
Unknown,Female,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,1,1,9:30:00,Serious
Unknown,Female,Illiterate,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,1,20:08:00,Fatal
Unknown,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,1,20:08:00,Fatal
31-50,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,1,18:54:00,Fatal
Over 51,Male,Junior high school,Owner,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,1,1,14:28:00,Fatal
31-50,Male,Unknown,Owner,5-10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,13:35:00,Fatal
Unknown,Male,Unknown,Owner,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,13:35:00,Fatal
Unknown,Female,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,16:00:00,Fatal
31-50,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,16:00:00,Fatal
Unknown,Male,Writing & reading,Owner,5-10yr,Undivided Two way,Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,1,14:01:00,Fatal
Over 51,Male,Unknown,Owner,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,1,1,19:17:00,Serious
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Unknown,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,1,1,13:22:00,Fatal
31-50,Male,Junior high school,Owner,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving under the influence of drugs,1,2,8:05:00,Serious
31-50,Male,Junior high school,Owner,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,1,2,8:05:00,Serious
18-30,Male,Elementary school,Employee,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,2,13:15:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,2,13:15:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,1,1,22:40:00,Fatal
